builder;bb;user;system;elapsed;cpu;avgtest;avgdata;maxresident;inputs;outputs;major;minor;swaps
threadripper-3970x-128gb-gentoo-kirkstone-2022-03;3-fetch;11.13;0.72;50:01.87;0;0;0;38880;8;2344;0;16293;0
threadripper-3970x-128gb-gentoo-kirkstone-2022-07;1-init;40.46;9.15;2:01.86;40;0;0;399468;14592;799456;2;203762;0
threadripper-3970x-128gb-gentoo-kirkstone-2022-07;2-build-test;1.31;0.06;0:54.88;2;0;0;52500;5936;5736;15;22956;0
threadripper-3970x-128gb-gentoo-kirkstone-2022-07;3-fetch;8.29;1.13;40:44.08;0;0;0;47408;4992;24888;0;20065;0
threadripper-3970x-128gb-gentoo-kirkstone-2023-08-OOMK;1-init;38.09;8.05;0:38.57;119;0;0;341704;125768;948464;100;205367;0
threadripper-3970x-128gb-gentoo-kirkstone-2023-08-OOMK;2-build-test;0.78;0.04;0:52.55;1;0;0;45568;0;216;0;19006;0
threadripper-3970x-128gb-gentoo-kirkstone-2023-08-OOMK;3-fetch;2.04;0.14;3:08.14;1;0;0;46080;480;744;5;19013;0
threadripper-3970x-128gb-gentoo-kirkstone-2023-08-with-reg-cpu-pressure-100K-chp-logic-fixes;2-build-test;0.86;0.05;0:52.45;1;0;0;49152;48800;640;237;19903;0
threadripper-3970x-128gb-gentoo-kirkstone-2023-08-with-reg-cpu-pressure-100K-chp-logic-fixes;3-fetch;1.69;0.12;0:57.37;3;0;0;46080;0;504;0;18901;0
threadripper-3970x-128gb-gentoo-kirkstone-2023-08-with-reg-cpu-pressure-100K;2-build-test;0.83;0.04;0:55.84;1;0;0;45568;52336;256;250;18912;0
threadripper-3970x-128gb-gentoo-kirkstone-2023-08-with-reg-cpu-pressure-100K;3-fetch;2.13;0.58;4:49.09;0;0;0;45568;65128;75400;0;19126;0
threadripper-3970x-128gb-gentoo-kirkstone-2023-08-with-reg-cpu-pressure-1K-chp-logic-fixes;2-build-test;0.78;0.06;0:52.28;1;0;0;48128;8760;264;5;19198;0
threadripper-3970x-128gb-gentoo-kirkstone-2023-08-with-reg-cpu-pressure-1K-chp-logic-fixes;3-fetch;1.63;0.10;0:34.41;5;0;0;48640;0;472;0;19090;0
threadripper-3970x-128gb-gentoo-kirkstone-2023-08-with-reg-cpu-pressure-1K;2-build-test;0.84;0.06;0:57.28;1;0;0;45056;65352;256;298;18903;0
threadripper-3970x-128gb-gentoo-kirkstone-2023-08-with-reg-cpu-pressure-1K;3-fetch;1.84;0.55;3:06.80;1;0;0;45568;78472;76152;0;19103;0
threadripper-3970x-128gb-gentoo-langdale-2022-05;1-init;17.06;9.56;1:36.99;27;0;0;351888;704;777264;7;187855;0
threadripper-3970x-128gb-gentoo-langdale-2022-05;2-build-test;0.58;0.06;0:52.91;1;0;0;41892;0;3104;0;19501;0
threadripper-3970x-128gb-gentoo-langdale-2022-05;3-fetch;6.49;0.61;1:21:17;0;0;0;37376;304;1072;2;15946;0
threadripper-3970x-128gb-gentoo-langdale-2022-07-with-dash-l;1-init;35.50;9.32;2:13.29;33;0;0;383032;1720;781104;11;195640;0
threadripper-3970x-128gb-gentoo-langdale-2022-07-with-dash-l;2-build-test;1.31;0.09;0:56.87;2;0;0;52536;984;5496;5;22715;0
threadripper-3970x-128gb-gentoo-langdale-2022-07-with-dash-l;3-fetch;6.38;0.59;1:01:17;0;0;0;47284;0;632;0;19776;0
threadripper-3970x-128gb-gentoo-langdale-2022-07-with-reg-cpu-pressure;2-build-test;0.84;0.07;0:56.38;1;0;0;47148;0;344;0;19840;0
threadripper-3970x-128gb-gentoo-langdale-2022-07-with-reg-cpu-pressure;3-fetch;1.72;0.15;0:38.42;4;0;0;47140;0;528;0;19730;0
threadripper-3970x-128gb-gentoo-langdale-2022-07;1-init;35.28;7.61;1:25.96;49;0;0;374436;7280;778952;13;195277;0
threadripper-3970x-128gb-gentoo-langdale-2022-07;2-build-test;1.36;0.08;1:03.08;2;0;0;52692;11200;5192;55;22762;0
threadripper-3970x-128gb-gentoo-langdale-2022-07;3-fetch;10.01;0.85;46:26.30;0;0;0;47200;8;976;0;19790;0
threadripper-3970x-128gb-gentoo-nanbield-2023-08-no-ff-no-reg-cpu-pressure;2-build-test;0.90;0.05;1:14.84;1;0;0;48128;0;352;0;19772;0
threadripper-3970x-128gb-gentoo-nanbield-2023-08-no-ff-no-reg-cpu-pressure;3-fetch;3.65;0.22;1:20.61;4;0;0;48128;0;832;0;19665;0
threadripper-3970x-128gb-gentoo-nanbield-2023-08-no-ff-with-reg-cpu-pressure-100K;2-build-test;0.92;0.08;1:19.45;1;0;0;48128;52576;304;243;19675;0
threadripper-3970x-128gb-gentoo-nanbield-2023-08-no-ff-with-reg-cpu-pressure-100K;3-fetch;3.74;0.18;4:03.74;1;0;0;48128;0;1016;0;19660;0
threadripper-3970x-128gb-gentoo-nanbield-2023-08-no-ff-with-reg-cpu-pressure-1K-no-swap;1-init;38.10;5.34;0:42.26;102;0;0;350736;62824;845976;206;185181;0
threadripper-3970x-128gb-gentoo-nanbield-2023-08-no-ff-with-reg-cpu-pressure-1K-no-swap;2-build-test;1.84;0.09;2:10.58;1;0;0;51712;39160;5984;177;22568;0
threadripper-3970x-128gb-gentoo-nanbield-2023-08-no-ff-with-reg-cpu-pressure-1K-no-swap;3-fetch;4.94;0.28;11:27.57;0;0;0;50176;0;1680;0;20561;0
threadripper-3970x-128gb-optane-zeus;1-init;14.61;2.73;0:37.71;46;0;0;139108;320;679776;0;123812;0
threadripper-3970x-128gb-optane-zeus;2-build-test;0.36;0.04;0:29.73;1;0;0;32344;584;2688;0;20553;0
threadripper-3970x-128gb-optane-zeus;3-fetch;1.95;0.26;3:12.13;1;0;0;29348;0;432;0;13916;0
threadripper-3970x-128gb-ubuntu-20.04-dunfell-2020-03;1-init;15.24;6.32;1:18.99;27;0;0;148032;160;714680;0;125312;0
threadripper-3970x-128gb-ubuntu-20.04-dunfell-2020-03;2-build-test;0.37;0.06;0:34.32;1;0;0;34576;0;3288;0;21416;0
threadripper-3970x-128gb-ubuntu-20.04-dunfell-2020-03;3-fetch;2.60;0.38;28:28.81;0;0;0;30692;8;1024;0;13552;0
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;1-init;15.21;3.25;1:19.63;23;0;0;151592;688;763080;0;134868;0
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;2-build-test;0.37;0.04;0:33.82;1;0;0;34304;0;2848;0;22193;0
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;3-fetch;2.47;0.24;21:55.42;0;0;0;30604;0;672;0;14491;0
threadripper-3970x-128gb-ubuntu-20.10-gatesgarth-2020-10;1-init;15.84;1.87;1:32.03;19;0;0;154240;5360;710392;0;144399;0
threadripper-3970x-128gb-ubuntu-20.10-gatesgarth-2020-10;2-build-test;0.37;0.05;0:36.25;1;0;0;34668;3208;2960;8;22027;0
threadripper-3970x-128gb-ubuntu-20.10-gatesgarth-2020-10;3-fetch;3.58;0.62;33:17.47;0;0;0;30140;8;720;0;20147;0
threadripper-3970x-128gb-ubuntu-21.04-dunfell-2020-03;1-init;23.42;7.08;1:12.46;42;0;0;336184;3192;918528;3;255380;0
threadripper-3970x-128gb-ubuntu-21.04-dunfell-2020-03;2-build-test;0.38;0.03;0:32.20;1;0;0;35788;1976;3624;14;17040;0
threadripper-3970x-128gb-ubuntu-21.04-dunfell-2020-03;3-fetch;4.19;1.47;39:00.97;0;0;0;31912;28304;50416;0;14426;0
threadripper-3970x-128gb-ubuntu-21.04-dunfell-2021-03;1-init;19.68;6.92;1:16.13;34;0;0;336228;16056;783776;106;184624;0
threadripper-3970x-128gb-ubuntu-21.04-dunfell-2021-03;2-build-test;0.38;0.03;0:33.45;1;0;0;36428;952;3552;4;16963;0
threadripper-3970x-128gb-ubuntu-21.04-dunfell-2021-03;3-fetch;3.91;0.62;38:15.25;0;0;0;31888;0;2136;1;14485;0
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03-qemuarm;2-build-test;0.24;0.04;0:28.67;0;0;0;33184;12488;192;27;15288;0
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03-qemuarm;3-fetch;3.81;0.76;35:58.60;0;0;0;33120;43048;51864;0;15398;0
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03;1-init;19.08;7.43;1:28.19;30;0;0;331568;8;737304;2;176419;0
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03;2-build-test;0.38;0.05;0:35.05;1;0;0;38604;0;2968;1;18378;0
