builder;step;task;time
dual-Xeon-E5-2698-v4-4-channels-no-journal;7-build-2-bb;core-image-sato.do_rootfs;---
dual-Xeon-E5-2698-v4-4-channels-tmpfs;4-build-all;core-image-sato.do_rootfs;---
dual-Xeon-E5-2698-v4-4-channels-tmpfs;5-build-8-bb;core-image-sato.do_rootfs;---
dual-Xeon-E5-2698-v4-4-channels-tmpfs;6-build-16-bb;core-image-sato.do_rootfs;---
dual-Xeon-E5-2698-v4-4-channels-tmpfs;7-build-2-bb;core-image-sato.do_rootfs;115.69
dual-Xeon-E5-2698-v4-4-channels;4-build-all;core-image-sato.do_rootfs;---
dual-Xeon-E5-2698-v4-4-channels;5-build-8-bb;core-image-sato.do_rootfs;---
dual-Xeon-E5-2698-v4-4-channels;6-build-16-bb;core-image-sato.do_rootfs;---
dual-Xeon-E5-2698-v4-4-channels;7-build-2-bb;core-image-sato.do_rootfs;114.96
dual-Xeon-E5-2699-v3-8-channels-tmpfs;4-build-all;core-image-sato.do_rootfs;---
dual-Xeon-E5-2699-v3-8-channels-tmpfs;5-build-8-bb;core-image-sato.do_rootfs;---
dual-Xeon-E5-2699-v3-8-channels-tmpfs;6-build-16-bb;core-image-sato.do_rootfs;---
dual-Xeon-E5-2699-v3-8-channels-tmpfs;7-build-2-bb;core-image-sato.do_rootfs;---
dual-Xeon-E5-2699-v3-8-channels;4-build-all;core-image-sato.do_rootfs;---
dual-Xeon-E5-2699-v3-8-channels;5-build-8-bb;core-image-sato.do_rootfs;---
dual-Xeon-E5-2699-v3-8-channels;6-build-16-bb;core-image-sato.do_rootfs;---
dual-Xeon-E5-2699-v3-8-channels;7-build-2-bb;core-image-sato.do_rootfs;---
ryzen-5-1600AF;4-build-all;core-image-sato.do_rootfs;---
ryzen-5-1600AF;6-build-16-bb;core-image-sato.do_rootfs;---
ryzen-5-1600AF;7-build-2-bb;core-image-sato.do_rootfs;---
threadripper-3970x-64gb;4-build-all;core-image-sato.do_rootfs;---
threadripper-3970x-64gb;5-build-8-bb;core-image-sato.do_rootfs;---
threadripper-3970x-64gb;6-build-16-bb;core-image-sato.do_rootfs;---
threadripper-3970x-64gb;7-build-2-bb;core-image-sato.do_rootfs;---
dual-Xeon-E5-2670-8-channels;4-build-all;firefox.do_compile;2305.69
dual-Xeon-E5-2670-8-channels;5-build-8-bb;firefox.do_compile;2242.72
dual-Xeon-E5-2670-8-channels;6-build-16-bb;firefox.do_compile;2479.17
dual-Xeon-E5-2670-8-channels;7-build-2-bb;firefox.do_compile;2165.69
dual-Xeon-E5-2698-v4-4-channels-no-journal;4-build-all;firefox.do_compile;738.50
dual-Xeon-E5-2698-v4-4-channels-no-journal;5-build-8-bb;firefox.do_compile;712.84
dual-Xeon-E5-2698-v4-4-channels-no-journal;6-build-16-bb;firefox.do_compile;721.60
dual-Xeon-E5-2698-v4-4-channels-no-journal;7-build-2-bb;firefox.do_compile;1599.69
dual-Xeon-E5-2698-v4-4-channels-tmpfs;4-build-all;firefox.do_compile;720.22
dual-Xeon-E5-2698-v4-4-channels-tmpfs;5-build-8-bb;firefox.do_compile;728.48
dual-Xeon-E5-2698-v4-4-channels-tmpfs;6-build-16-bb;firefox.do_compile;713.64
dual-Xeon-E5-2698-v4-4-channels-tmpfs;7-build-2-bb;firefox.do_compile;1593.29
dual-Xeon-E5-2698-v4-4-channels;4-build-all;firefox.do_compile;711.34
dual-Xeon-E5-2698-v4-4-channels;5-build-8-bb;firefox.do_compile;713.21
dual-Xeon-E5-2698-v4-4-channels;6-build-16-bb;firefox.do_compile;706.65
dual-Xeon-E5-2698-v4-4-channels;7-build-2-bb;firefox.do_compile;1616.18
dual-Xeon-E5-2699-v3-8-channels-tmpfs;4-build-all;firefox.do_compile;763.20
dual-Xeon-E5-2699-v3-8-channels-tmpfs;5-build-8-bb;firefox.do_compile;1822.01
dual-Xeon-E5-2699-v3-8-channels-tmpfs;6-build-16-bb;firefox.do_compile;757.98
dual-Xeon-E5-2699-v3-8-channels-tmpfs;7-build-2-bb;firefox.do_compile;1798.57
dual-Xeon-E5-2699-v3-8-channels;4-build-all;firefox.do_compile;773.70
dual-Xeon-E5-2699-v3-8-channels;5-build-8-bb;firefox.do_compile;1825.08
dual-Xeon-E5-2699-v3-8-channels;6-build-16-bb;firefox.do_compile;777.11
dual-Xeon-E5-2699-v3-8-channels;7-build-2-bb;firefox.do_compile;1803.83
ryzen-5-1600AF;4-build-all;firefox.do_compile;4117.87
ryzen-5-1600AF;6-build-16-bb;firefox.do_compile;5503.65
ryzen-5-1600AF;7-build-2-bb;firefox.do_compile;2074.22
threadripper-3970x-64gb;4-build-all;firefox.do_compile;1317.14
