builder;ram;channels;swap;desc;-j;PN;e;S;U;P;c;w;R;F;M
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;2;no;-2666-tmpfs;32;qtbase;420.69;0.05;0.68;0%;41;11745;10560;0;30580
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;2;no;-2666-tmpfs;32;qtdeclarative;163.27;0.07;0.34;0%;28;10783;10550;0;30500
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;2;no;-2666-tmpfs;32;qtwebengine;865.62;0.32;3.96;0%;418;60788;10541;0;30712
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;2;no;-2666-tmpfs;48;chromium-x11;2821.37;2.05;23.68;0%;3756;120891;10545;0;30708
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;2;no;-2666-tmpfs;48;qtbase;430.37;0.10;0.75;0%;51;11768;10596;0;30568
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;2;no;-2666-tmpfs;48;qtdeclarative;168.90;0.07;0.37;0%;34;10895;10542;0;30592
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;2;no;-2666-tmpfs;48;qtwebengine;796.27;0.48;5.51;0%;826;55681;10555;0;30592
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;2;no;-2666-tmpfs;64;chromium-x11;2772.05;2.57;28.08;1%;5306;101299;10564;0;30736
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;2;no;-2666-tmpfs;64;qtbase;491.18;0.08;0.78;0%;36;12250;10554;0;30356
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;2;no;-2666-tmpfs;64;qtdeclarative;184.04;0.07;0.45;0%;35;10699;10542;0;30456
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;2;no;-2666-tmpfs;64;qtwebengine;855.49;0.82;7.61;0%;1451;47026;10543;0;30592
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;2;no;-2666;32;chromium-x11;2999.54;1.71;17.78;0%;1852;136285;10549;0;30552
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;2;no;-2666;32;qtbase;435.25;0.04;0.77;0%;46;12962;10557;0;30740
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;2;no;-2666;32;qtdeclarative;167.49;0.04;0.39;0%;37;10755;10540;0;30756
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;2;no;-2666;32;qtwebengine;906.71;0.43;3.96;0%;382;60683;10546;0;30556
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;2;no;-2666;48;chromium-x11;3005.53;2.04;24.78;0%;3803;123901;10528;0;30488
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;2;no;-2666;48;qtbase;469.45;0.10;0.74;0%;53;13231;10604;0;30596
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;2;no;-2666;48;qtdeclarative;176.44;0.07;0.40;0%;36;10694;10541;0;30484
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;2;no;-2666;48;qtwebengine;906.03;0.66;6.01;0%;878;56372;10533;0;30548
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;2;no;-2666;64;chromium-x11;3164.63;2.76;29.42;1%;5539;101696;10581;0;30480
